iter	MultiClass
0	2.234378439
1	2.050159284
2	1.910127184
3	1.801263848
4	1.710079121
5	1.633962633
6	1.568515465
7	1.512570861
8	1.464248529
9	1.42211173
10	1.385286701
11	1.355410905
12	1.327060275
13	1.297998638
14	1.275274057
15	1.255513768
16	1.234527124
17	1.217054528
18	1.200850626
19	1.1870731
20	1.174173822
21	1.161473679
22	1.149090043
23	1.138299666
24	1.128160122
25	1.117553097
26	1.108429892
27	1.101169814
28	1.094119774
29	1.086616726
30	1.081389749
31	1.074962961
32	1.07065137
33	1.064807494
34	1.059168268
35	1.053843612
36	1.049753169
37	1.045423457
38	1.040214199
39	1.036262207
40	1.032136478
41	1.029042081
42	1.025624693
43	1.022208646
44	1.018749434
45	1.015203817
46	1.012088537
47	1.009038873
48	1.005795497
49	1.003128522
50	1.000649964
51	0.9983905
52	0.9958575396
53	0.9937138771
54	0.9905975577
55	0.9881437202
56	0.9852152833
57	0.9825639769
58	0.979785082
59	0.977654435
60	0.9752279717
61	0.9729974304
62	0.9715226425
63	0.9691944937
64	0.9666941074
65	0.9645121169
66	0.9626148032
67	0.9604464072
68	0.9583830816
69	0.9568900101
70	0.9549707831
71	0.9528740766
72	0.9513344504
73	0.9502121114
74	0.9478572531
75	0.9460696852
76	0.9443954078
77	0.943055117
78	0.9408176597
79	0.9393503747
80	0.9380867545
81	0.9355566181
82	0.9345328106
83	0.931652172
84	0.9295411335
85	0.9282555828
86	0.9267637674
87	0.9252459944
88	0.9232011802
89	0.9220641624
90	0.9197117556
91	0.9182409824
92	0.9162416255
93	0.9149089727
94	0.9134896387
95	0.9114711954
96	0.9100515326
97	0.9077696099
98	0.905659869
99	0.9038495527
100	0.9025107003
101	0.900297882
102	0.8987200527
103	0.8968179314
104	0.8953646781
105	0.8939547958
106	0.8930653657
107	0.8909957442
108	0.8897395025
109	0.8876276067
110	0.886137524
111	0.8851149735
112	0.8837250623
113	0.882444054
114	0.8808708734
115	0.8799112717
116	0.8783558473
117	0.8769262789
118	0.8755228974
119	0.8737799666
120	0.8722882118
121	0.8707133459
122	0.8696181947
123	0.8672752063
124	0.8662891707
125	0.8643896603
126	0.862871131
127	0.8620773583
128	0.8611505883
129	0.8599434348
130	0.8588769755
131	0.8579235437
132	0.8568259693
133	0.8554367717
134	0.8541609998
135	0.8524760328
136	0.8510514673
137	0.8497096113
138	0.8485847998
139	0.847192562
140	0.8458910258
141	0.8447499018
142	0.8434248309
143	0.8422284909
144	0.8414105694
145	0.8396990781
146	0.8390696039
147	0.8380591868
148	0.8372387093
149	0.8360857238
