Year,Name,College,POS,Height (in),Weight (lbs),BMI,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
1987,Mike Adams,Arizona State,CB,0.39712918660287055,0.22857142857142854,0.2765151515151515,0.8900523560209423,0.24000000000000002,0.5,0.7928571428571428,0.7492795389048992,
1987,John Adickes,Baylor,C,0.6363636363636358,0.5061224489795919,0.45833333333333315,0.6020942408376966,0.48,0.31034482758620685,0.6857142857142856,0.7492795389048992,
1987,Tommy Agee,Auburn,FB,0.49282296650717683,0.30612244897959184,0.31439393939393934,,0.27999999999999997,,,,
1987,David Alexander,Tulsa (OK),C,0.6459330143540667,0.5591836734693878,0.515151515151515,0.5183246073298431,0.42,0.3448275862068966,0.7,0.8270893371757924,
1987,Lyneal Alston,Southern Mississippi,WR,0.5071770334928223,0.24489795918367352,0.22727272727272718,0.7748691099476441,0.12000000000000001,0.5,0.7642857142857142,0.7723342939481268,
1987,Steve Alvord,Washington,DE,0.7177033492822962,0.5346938775510204,0.43560606060606044,0.6596858638743455,0.33999999999999997,0.3793103448275862,0.7214285714285713,0.7809798270893371,
1987,Anthony Anderson,Grambling State (LA),CB,0.5789473684210522,0.2693877551020408,0.21590909090909072,0.7486910994764395,,0.4655172413793103,0.7428571428571428,0.7838616714697404,
1987,Joe Armentrout,Wisconsin,FB,0.5167464114832532,0.31836734693877555,0.31439393939393934,0.7382198952879584,0.33999999999999997,0.4655172413793103,0.7785714285714285,0.8760806916426511,
1987,Bruce Armstrong,Louisville,OT,0.6937799043062198,0.5795918367346939,0.5037878787878788,0.5602094240837698,0.42,0.3275862068965517,0.6642857142857143,0.6887608069164266,
1987,Gene Atkins,Florida A&M,FS,0.46889952153110004,0.19999999999999996,0.193181818181818,0.8062827225130889,0.26,0.4655172413793103,0.807142857142857,0.7636887608069165,
1987,Robert Awalt,San Diego State,TE,0.741626794258373,0.39591836734693875,0.265151515151515,0.6596858638743455,,0.3620689655172413,0.7214285714285713,0.7925072046109509,
1987,Stephen Baker,Frenso State (CA),WR,0.3110047846889952,0.061224489795918324,0.09848484848484829,0.7958115183246077,,0.4655172413793103,0.7785714285714285,0.8040345821325647,
1987,Jerry Ball,Southern Methodist (TX),DT,0.5071770334928223,0.6122448979591837,0.6893939393939391,0.5130890052356025,0.44,0.22413793103448276,0.6357142857142857,0.7002881844380404,
1987,Robert Banks,Notre Dame,DT,0.6937799043062198,0.4408163265306122,0.3446969696969696,0.5968586387434551,0.33999999999999997,,,,
1987,Roy Banks,Eastern Illinois,WR,0.41148325358851645,0.18775510204081636,0.21212121212121204,0.8376963350785345,0.06,0.5,0.7642857142857142,0.8472622478386167,
1987,Roland Barbay,Louisiana State,DE,0.665071770334928,0.4775510204081632,0.40530303030303017,0.49214659685863893,0.24000000000000002,0.13793103448275867,0.6,0.7521613832853027,
1987,Steve Bartalo,Colorado State,RB,0.3492822966507174,0.24081632653061225,0.3257575757575756,0.675392670157068,0.26,0.3793103448275862,0.7642857142857142,0.9077809798270893,
1987,Doug Bartlett,Northern Illinois,OLB,0.6124401913875595,0.4408163265306122,0.3977272727272726,0.7172774869109948,0.6,0.4655172413793103,0.7499999999999999,0.8876080691642652,
1987,Harris Barton,North Carolina,C,0.7081339712918657,0.5632653061224491,0.4734848484848483,0.5706806282722514,0.45999999999999996,0.4655172413793103,0.7071428571428571,0.7896253602305476,
1987,Gerald Bayless,Bowling Green (OH),TE,0.6842105263157889,0.3795918367346939,0.28409090909090906,0.6806282722513086,,0.2931034482758621,0.7214285714285713,0.8242074927953891,
1987,Albert Bell,Alabama,WR,0.4449760765550237,0.1306122448979592,0.11742424242424232,0.7801047120418851,0.06,0.4137931034482758,0.7642857142857142,0.7780979827089336,
1987,Leonard Bell,Indiana,SS,0.4449760765550237,0.24081632653061225,0.26136363636363613,0.7905759162303663,0.33999999999999997,0.4310344827586208,0.7071428571428571,0.8357348703170029,
1987,Mark Bellini,Brigham Young,WR,0.44976076555023914,0.14693877551020407,0.13636363636363624,,0.14,,,,
1987,Rod Bernstine,Texas A&M,RB,0.6459330143540667,0.3918367346938776,0.318181818181818,0.753926701570681,0.33999999999999997,0.4137931034482758,0.7499999999999999,0.8097982708933718,
1987,Ray Berry,Baylor,ILB,0.6220095693779903,0.34285714285714286,0.2765151515151515,0.6649214659685865,0.42,0.3793103448275862,0.7,0.7867435158501441,
1987,Steve Beuerlein,Notre Dame,QB,0.6172248803827749,0.24897959183673468,0.17045454545454541,0.5340314136125657,0.039999999999999994,0.18965517241379315,0.6142857142857142,0.7406340057636887,
1987,Alvin Blount,Eastern Kentucky,WR,0.38277511961722466,0.24081632653061225,0.30303030303030287,0.8062827225130889,0.24000000000000002,0.603448275862069,0.7785714285714285,0.8731988472622478,
1987,Ron Bohm,Illinois,DT,0.6267942583732053,0.4571428571428571,0.40909090909090906,0.5235602094240837,0.24000000000000002,0.24137931034482762,0.6857142857142856,0.7665706051873198,
1987,John Bosa,Boston College,DE,0.6985645933014348,0.5102040816326532,0.4204545454545453,0.6649214659685865,0.52,0.3620689655172413,0.657142857142857,0.8040345821325647,
1987,Stephen Braggs,Texas,CB,0.3588516746411483,0.13877551020408163,0.17803030303030287,0.8219895287958119,0.12000000000000001,0.3793103448275862,0.7428571428571428,0.8933717579250722,
1987,David Brandon,Memphis,OLB,0.6507177033492817,0.33061224489795915,0.24621212121212122,0.7277486910994764,0.16,0.31034482758620685,0.7214285714285713,0.7925072046109509,
1987,Jeff Bregel,Southern California,OG,0.7081339712918657,0.5591836734693878,0.4696969696969696,0.37696335078534027,0.38,0.3793103448275862,0.7214285714285713,0.7406340057636887,
1987,James Brim,Wake Forest,WR,0.6459330143540667,0.1673469387755102,0.06060606060606044,0.832460732984293,0.12000000000000001,0.5,0.7785714285714285,0.8876080691642652,
1987,Louis Brock,Southern California,CB,0.4354066985645928,0.08571428571428574,0.06439393939393934,,,,,,
1987,Jerome Brown,Miami (FL),DT,0.6124401913875595,0.6122448979591837,0.6022727272727272,0.6596858638743455,0.32,,,,
1987,Tom Brown,Pittsburgh,RB,0.5263157894736841,0.3102040816326531,0.2992424242424242,0.7486910994764395,0.36,0.27586206896551724,0.6428571428571428,0.8213256484149856,
1987,Jason Buck,Brigham Young,DE,0.741626794258373,0.4408163265306122,0.31439393939393934,,0.36,,,,
1987,Tony Burse,Middle Tennessee State,RB,0.5023923444976073,0.31836734693877555,0.3219696969696969,0.7382198952879584,0.38,0.3448275862068966,0.6928571428571428,0.6685878962536023,
1987,Cody Carlson,Baylor,QB,0.6459330143540667,0.19999999999999996,0.09848484848484829,0.6806282722513086,,0.4137931034482758,0.7428571428571428,0.7925072046109509,
1987,Mark Carrier,Nicholls State (LA),WR,0.49282296650717683,0.16326530612244894,0.13257575757575746,0.8691099476439792,0.16,0.4310344827586208,0.7642857142857142,0.7752161383285303,
1987,Toby Caston,Louisiana State,OLB,0.5502392344497604,0.3795918367346939,0.3674242424242423,0.6806282722513086,0.18000000000000002,0.5172413793103448,0.7857142857142857,0.7636887608069165,
1987,Dick Chapura,Missouri,DT,0.665071770334928,0.5428571428571429,0.48106060606060586,,,,,,
1987,Robert Clark,North Carolina Central,WR,0.37320574162679376,0.11428571428571432,0.13636363636363624,0.8062827225130889,0.06,0.3793103448275862,0.7642857142857142,0.755043227665706,
1987,John Clay,Missouri,OT,0.7607655502392343,0.726530612244898,0.6174242424242423,0.3193717277486914,0.3,0.2586206896551724,0.557142857142857,0.7002881844380404,
1987,Michael Clemons,William & Mary (VA),TE,0.16267942583732076,0.08571428571428574,0.2234848484848483,0.7591623036649215,0.16,0.39655172413793105,0.7214285714285713,0.8011527377521614,
1987,Joey Clinkscales,Tennessee,WR,0.5502392344497604,0.2081632653061225,0.15909090909090895,0.7905759162303663,,0.5172413793103448,0.6857142857142856,0.7982708933717579,
1987,Chris Conlin,Penn State,OT,0.665071770334928,0.5836734693877552,0.5265151515151515,0.413612565445026,0.39999999999999997,0.18965517241379315,0.6071428571428571,0.7521613832853027,
1987,Toi Cook,Stanford,CB,0.4210526315789469,0.17551020408163265,0.18939393939393934,0.8062827225130889,,0.39655172413793105,0.7642857142857142,0.8357348703170029,
1987,Dave Croston,Iowa,OT,0.7320574162679421,0.5673469387755103,0.46212121212121204,0.3350785340314135,0.26,0.24137931034482762,0.6071428571428571,0.7031700288184439,
1987,Brian Davis,Nebraska,CB,0.5550239234449754,0.19183673469387752,0.13636363636363624,0.8743455497382198,0.14,0.6206896551724137,0.7999999999999999,0.8731988472622478,
